ID del canal,Título del canal,categoria,logo_url
UC_lePY0Lm0E2-_IkYUWpI5A,Dataquest,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/q2pDqjLKEjYCGdJVaOuoa1bDB3AKOCKFGSkOXrIdo3sW8TW2IMub2QN10U52iVN64HHHSpjNig=s240-c-k-c0x00ffffff-no-rj
UC_mYaQAE6-71rjSN6CeCA-g,NeetCode,Programación y desarrollo de software,https://yt3.ggpht.com/25g11wkEmSb_ZTC6M5-uMklwAHmFa9rfZN7TzS9WLsfPgXFHoLaegwKwBqqah7pPhQhSafMx=s240-c-k-c0x00ffffff-no-rj
UC_o4nc-spNE1SJ4KXxRiSOg,Colmayor,Universidades y academia,https://yt3.ggpht.com/ytc/AIdro_m3xs-VfL_pes1QjrA9t_6XQ5dVv_TtVkHTP_v5yVHPJsM=s240-c-k-c0x00ffffff-no-rj
UC_oGJs_9H2cZLIHtAqG2dtA,Sophia Space,Robótica y espacio,https://yt3.ggpht.com/rx-XKTree2BXHqQ_QNf3SR9KH_rJ8mBQV42Y6Y2DrYAZ1IdqJVSeljBnPi4Eziy19VpQTsV1=s240-c-k-c0x00ffffff-no-rj
UC_t4RmHn_UP91FM4UZ6Pf2g,Radiolaestudio,Música,https://yt3.ggpht.com/f_kfz2ulCWTWWXrQdlSIBd8sF4HSAgkOmLqUsMV87ErWP3RLiI8b0NDQnJfE9U2TbF2BX_sU-A=s240-c-k-c0x00ffffff-no-rj
UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,Google,https://yt3.ggpht.com/WZ_63J_-745xyW_DGxGi3VUyTZAe0Jvhw2ZCg7fdz-tv9esTbNPZTFR9X79QzA0ArIrMjYJCDA=s240-c-k-c0x00ffffff-no-rj
UCa08neofSCww42NYkUxsVgg,V7,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/kBX_GepYiF-tSK2M_VO3Zf5166GE4R4E6Zistx7wMXs3NO24lz-SMf93yBEKCvT-hMqo_kLFbA=s240-c-k-c0x00ffffff-no-rj
UCa2meUYmJVFcVHrdnPnrpCA,Sandra Borda Senadora,Política y gobierno de Colombia,
UCa2riCzsYXZaD6pzspOXgTw,Dignidad Liberal,Política y gobierno de Colombia,https://yt3.ggpht.com/p-JgJ_502Wt48BXDbAz180FWFQi-sIyHip9H2U8kiClSSPGmIPH9nIEFu1P-t4_6bIinfCo0i3E=s240-c-k-c0x00ffffff-no-rj
UCa3zFn8tzw6GaBKZUzifM9A,NYU AI School,Universidades y academia,https://yt3.ggpht.com/ytc/AIdro_nTos0IyC_1PktqplDGx2jg0a6cVbLEojKNBc2jb1uEdg=s240-c-k-c0x00ffffff-no-rj
UCa5IiwQHHk0Gj8MfC6-XCmg,360 Radio Colombia,Noticias y medios (Colombia),https://yt3.ggpht.com/4PMtTvCemRdQIpjNdaQNltsXcEFXilGNBrmx0_SnTPbzTK4iArvSKxuddy6qZc7c_ZjEfdZFMQ=s240-c-k-c0x00ffffff-no-rj
UCa6HiFCukSxElDy2_sfFhbg,TechPrep,Programación y desarrollo de software,https://yt3.ggpht.com/Tpc59jsdCPnA7PrapPilz7LUHg1c7GkTiYVZyeUPyV-k5lAyRL_dJ6_y9mFtK52Oi2r6yuvQ=s240-c-k-c0x00ffffff-no-rj
UCa7y_3R4yrD7cctZA7f971w,Foosh_Fit,"Fitness, ejercicio y salud física",https://yt3.ggpht.com/Ldg7dsWVPGwXKmZbmMm8hBlT0qb_tAk4pCujiO49e_Ke2NGFYcNrZdTdf3pOda2mcWlUEk6gIw=s240-c-k-c0x00ffffff-no-rj
UCa7yaiTrUh5Wgg4fUvg9WJw,AmpCode,Infraestructura cloud / software empresarial,https://yt3.ggpht.com/ytc/AIdro_msQa4pRoc-M23wlWHePTDlHT2PodepWLoVo9dx0bHfCw=s240-c-k-c0x00ffffff-no-rj
UCa9gErQ9AE5jT2DZLjXBIdA,Shaw Talebi,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/Cphhdw-7U6BwRazQzEQn9wpZJMAEtmyQ9BpBhqhx6VxTeWtcaIUIF0PGe8fY7twIPcqPu3u6eQ=s240-c-k-c0x00ffffff-no-rj
UCaFn4DD0-iKZokI5Y6vJ3cA,Wheels Factory,"Automóviles, mecánica e ingeniería aplicada",https://yt3.ggpht.com/o6CmPU-Ekf4_1HLP-IPmD7HKKCNL0bfpzjuQzmAyswRHIp7D3onM5fskqK5ByA-0KkgCBk8i7g=s240-c-k-c0x00ffffff-no-rj
UCaKFVG48rF6smZwtPTDH1qQ,Kartikey Bhardwaj,"Fitness, ejercicio y salud física",https://yt3.ggpht.com/kU1IXHfaTAN7MhKTY4Bs1uXa1nRQ2wcSwDSqynw7OXXVu_zpecBvr42q8p8sqI4cNAsuGJkRn3U=s240-c-k-c0x00ffffff-no-rj
